,date,open,high,low,close,adj_close,volume,rtx_4090_popularity,rtx_4080_popularity,rtx_4070_popularity,year,quarter,month,month_name,rtx_4090_popularity_lag_1,rtx_4090_popularity_lag_3,rtx_4090_popularity_lag_7,rtx_4090_popularity_lag_14,rtx_4090_popularity_lag_30,rtx_4080_popularity_lag_1,rtx_4080_popularity_lag_3,rtx_4080_popularity_lag_7,rtx_4080_popularity_lag_14,rtx_4080_popularity_lag_30,rtx_4070_popularity_lag_1,rtx_4070_popularity_lag_3,rtx_4070_popularity_lag_7,rtx_4070_popularity_lag_14,rtx_4070_popularity_lag_30,volume_lag_1,volume_lag_3,volume_lag_7,volume_lag_14,volume_lag_30,returns,returns_3d,returns_7d,returns_14d,returns_30d,is_release_day_rtx_4090,is_release_week_rtx_4090,is_release_month_rtx_4090,is_release_day_rtx_4080,is_release_week_rtx_4080,is_release_month_rtx_4080,is_release_day_rtx_4070,is_release_week_rtx_4070,is_release_month_rtx_4070,days_since_release_rtx_4090,days_since_release_rtx_4080,days_since_release_rtx_4070,release_window_rtx_4090,release_window_rtx_4080,release_window_rtx_4070
0,2022-01-03,29.815000534057617,30.711000442504883,29.78499984741211,30.121000289916992,30.066133499145508,391547000,1.0,2.0,0.0,2022,1,1,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0d-1d,0d-1d,0d-1d
1,2022-01-04,30.277000427246094,30.468000411987305,28.349000930786133,29.290000915527344,29.236648559570312,527154000,1.0,2.0,0.0,2022,1,1,January,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391547000.0,0.0,0.0,0.0,0.0,-0.027588680120733455,-0.027588680120733455,-0.027588680120733455,-0.027588680120733455,-0.027588680120733455,0,0,0,0,0,0,0,0,0,0,0,0,0d-1d,0d-1d,0d-1d
2,2022-01-05,28.948999404907227,29.416000366210938,27.53300094604492,27.60400009155273,27.55371856689453,498064000,1.0,2.0,0.0,2022,1,1,January,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527154000.0,0.0,0.0,0.0,0.0,-0.057562343004081806,-0.057562343004081806,-0.057562343004081806,-0.057562343004081806,-0.057562343004081806,0,0,0,0,0,0,0,0,0,0,0,0,0d-1d,0d-1d,0d-1d
3,2022-01-06,27.63999938964844,28.4379997253418,27.065000534057617,28.17799949645996,28.126672744750977,454186000,1.0,2.0,0.0,2022,1,1,January,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498064000.0,391547000.0,0.0,0.0,0.0,0.02079407817371126,0.02079407817371126,0.02079407817371126,0.02079407817371126,0.02079407817371126,0,0,0,0,0,0,0,0,0,0,0,0,0d-1d,0d-1d,0d-1d
4,2022-01-07,28.141000747680664,28.42200088500977,27.05699920654297,27.246999740600582,27.19736862182617,409939000,1.0,2.0,0.0,2022,1,1,January,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454186000.0,527154000.0,0.0,0.0,0.0,-0.033039959306890854,-0.033039959306890854,-0.033039959306890854,-0.033039959306890854,-0.033039959306890854,0,0,0,0,0,0,0,0,0,0,0,0,0d-1d,0d-1d,0d-1d
5,2022-01-10,26.58099937438965,27.4689998626709,25.643999099731445,27.399999618530277,27.35009002685547,594681000,1.0,2.0,0.0,2022,1,1,January,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409939000.0,498064000.0,0.0,0.0,0.0,0.005615300772396692,0.005615300772396692,0.005615300772396692,0.005615300772396692,0.005615300772396692,0,0,0,0,0,0,0,0,0,0,0,0,0d-1d,0d-1d,0d-1d
6,2022-01-11,27.322999954223636,28.065000534057617,26.839000701904297,27.816999435424805,27.76633071899414,404089000,1.0,2.0,0.0,2022,1,1,January,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594681000.0,454186000.0,0.0,0.0,0.0,0.015218988008081746,0.015218988008081746,0.015218988008081746,0.015218988008081746,0.015218988008081746,0,0,0,0,0,0,0,0,0,0,0,0,0d-1d,0d-1d,0d-1d
7,2022-01-12,28.066999435424805,28.59499931335449,27.607999801635746,27.999000549316406,27.947998046875,383413000,1.0,2.0,0.0,2022,1,1,January,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404089000.0,409939000.0,391547000.0,0.0,0.0,0.00654272002013534,0.00654272002013534,0.00654272002013534,0.00654272002013534,0.00654272002013534,0,0,0,0,0,0,0,0,0,0,0,0,0d-1d,0d-1d,0d-1d
8,2022-01-13,28.378999710083008,28.479999542236328,26.49799919128418,26.575000762939453,26.526596069335938,540171000,1.0,2.0,0.0,2022,1,1,January,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383413000.0,594681000.0,527154000.0,0.0,0.0,-0.0508588119676785,-0.0508588119676785,-0.0508588119676785,-0.0508588119676785,-0.0508588119676785,0,0,0,0,0,0,0,0,0,0,0,0,0d-1d,0d-1d,0d-1d
9,2022-01-14,26.299999237060547,27.19700050354004,26.209999084472656,26.941999435424805,26.89292335510254,395832000,1.0,2.0,0.0,2022,1,1,January,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540171000.0,404089000.0,498064000.0,0.0,0.0,0.013809811285590001,0.013809811285590001,0.013809811285590001,0.013809811285590001,0.013809811285590001,0,0,0,0,0,0,0,0,0,0,0,0,0d-1d,0d-1d,0d-1d
