week,rtx_4070
2021-12-26,<1
2022-01-02,<1
2022-01-09,<1
2022-01-16,<1
2022-01-23,<1
2022-01-30,<1
2022-02-06,<1
2022-02-13,<1
2022-02-20,<1
2022-02-27,<1
2022-03-06,1
2022-03-13,1
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,1
2022-04-24,1
2022-05-01,1
2022-05-08,1
2022-05-15,1
2022-05-22,1
2022-05-29,1
2022-06-05,1
2022-06-12,1
2022-06-19,1
2022-06-26,1
2022-07-03,1
2022-07-10,1
2022-07-17,1
2022-07-24,1
2022-07-31,2
2022-08-07,2
2022-08-14,2
2022-08-21,1
2022-08-28,2
2022-09-04,2
2022-09-11,2
2022-09-18,7
2022-09-25,3
2022-10-02,4
2022-10-09,6
2022-10-16,5
2022-10-23,4
2022-10-30,4
2022-11-06,3
2022-11-13,5
2022-11-20,4
2022-11-27,4
2022-12-04,5
2022-12-11,5
2022-12-18,5
2022-12-25,9
2023-01-01,48
2023-01-08,26
2023-01-15,20
2023-01-22,19
2023-01-29,18
2023-02-05,19
2023-02-12,20
2023-02-19,20
2023-02-26,19
2023-03-05,18
2023-03-12,19
2023-03-19,19
2023-03-26,22
2023-04-02,24
2023-04-09,79
2023-04-16,55
2023-04-23,41
2023-04-30,38
2023-05-07,34
2023-05-14,35
2023-05-21,38
2023-05-28,32
2023-06-04,33
2023-06-11,34
2023-06-18,33
2023-06-25,36
2023-07-02,36
2023-07-09,39
2023-07-16,34
2023-07-23,35
2023-07-30,35
2023-08-06,35
2023-08-13,35
2023-08-20,38
2023-08-27,38
2023-09-03,39
2023-09-10,37
2023-09-17,37
2023-09-24,37
2023-10-01,36
2023-10-08,37
2023-10-15,38
2023-10-22,39
2023-10-29,42
2023-11-05,45
2023-11-12,51
2023-11-19,66
2023-11-26,54
2023-12-03,49
2023-12-10,48
2023-12-17,48
2023-12-24,57
2023-12-31,49
2024-01-07,69
2024-01-14,93
2024-01-21,89
2024-01-28,68
2024-02-04,57
2024-02-11,55
2024-02-18,54
2024-02-25,52
2024-03-03,50
2024-03-10,49
2024-03-17,51
2024-03-24,53
2024-03-31,49
2024-04-07,45
2024-04-14,42
2024-04-21,42
2024-04-28,44
2024-05-05,41
2024-05-12,42
2024-05-19,42
2024-05-26,43
2024-06-02,45
2024-06-09,45
2024-06-16,44
2024-06-23,44
2024-06-30,44
2024-07-07,48
2024-07-14,50
2024-07-21,46
2024-07-28,47
2024-08-04,44
2024-08-11,50
2024-08-18,57
2024-08-25,58
2024-09-01,56
2024-09-08,59
2024-09-15,56
2024-09-22,54
2024-09-29,51
2024-10-06,58
2024-10-13,55
2024-10-20,55
2024-10-27,58
2024-11-03,63
2024-11-10,74
2024-11-17,82
2024-11-24,100
2024-12-01,81
2024-12-08,74
2024-12-15,74
2024-12-22,84
2024-12-29,80
2025-01-05,88
